"Date","Chrome","Safari","Opera","Firefox","Samsung Internet","Edge","UC Browser","Android","IE","Instabridge","Edge Legacy","Coc Coc","Yandex Browser","KaiOS","Sony PS4","Other"
2022-01,57.28,10.04,8.36,16.78,3.38,1.6,0.64,0.75,0.65,0.17,0.09,0.09,0.03,0.02,0.02,0.09
2022-02,56.84,9.43,8.23,17.68,3.12,1.41,0.57,0.76,0.72,0.93,0.08,0.1,0.03,0.01,0.02,0.06
2022-03,72,8.58,8.51,3.82,3.17,1.65,0.6,0.47,0.45,0.48,0.09,0.06,0.03,0.01,0.02,0.06
2022-04,72.33,9.13,9.09,2.19,3.56,1.94,0.67,0.41,0.26,0.16,0.1,0.03,0.02,0.02,0.02,0.07
2022-05,70.76,9.96,9.01,2.28,4.01,2.27,0.73,0.51,0.14,0.09,0.11,0,0.03,0.02,0.03,0.07
2022-06,73.83,8.82,7.37,2.15,4.09,2.16,0.7,0.41,0.14,0.1,0.1,0,0.03,0.01,0.02,0.07
2022-07,70.88,9.64,8.95,2.35,4.27,2.38,0.76,0.25,0.14,0.09,0.11,0,0.04,0.02,0.02,0.08
2022-08,70.02,9.25,10.59,2.22,4,2.52,0.69,0.26,0.12,0.08,0.11,0,0.02,0.02,0.02,0.07
2022-09,69.04,9.11,11.7,2.22,3.95,2.44,0.67,0.26,0.13,0.23,0.11,0,0.03,0.02,0.02,0.07
2022-10,69.75,9.33,11.11,2.17,3.73,2.57,0.61,0.25,0.13,0.09,0.11,0,0.03,0.03,0.02,0.07
2022-11,71.02,9.74,9.13,2.21,4.02,2.53,0.63,0.22,0.14,0.09,0.1,0,0.03,0.03,0.01,0.07
2022-12,71.42,9.78,8.54,2.16,4.41,2.26,0.66,0.25,0.11,0.09,0.1,0,0.03,0.08,0.01,0.07
