"Date","Chrome","Safari","Samsung Internet","Edge","Firefox","UC Browser","Opera","Android","360 Safe Browser","QQ Browser","IE","Whale Browser","Puffin","Coc Coc","Yandex Browser","KaiOS","Sogou Explorer","Instabridge","Edge Legacy","Unknown","Mozilla","Maxthon","Sony PS4","Other"
2022-01,72.61,12.37,2.95,2.53,1.95,1.98,1.9,0.82,0.54,0.58,0.43,0.29,0.16,0.15,0.19,0.19,0.12,0.07,0.07,0.02,0.03,0.02,0.02,0.03
2022-02,72.22,12.65,2.96,2.5,1.94,1.91,1.72,0.81,0.55,0.57,0.4,0.28,0.16,0.15,0.15,0.23,0.11,0.48,0.08,0.02,0.03,0.02,0.01,0.03
2022-03,72.92,12.54,2.99,2.56,1.94,1.76,1.61,0.84,0.55,0.54,0.38,0.28,0.16,0.12,0.14,0.19,0.11,0.22,0.06,0.02,0.02,0.02,0.01,0.03
2022-04,72.73,12.68,2.9,2.61,1.97,1.77,1.58,1.05,0.59,0.57,0.35,0.26,0.2,0.12,0.12,0.16,0.12,0.07,0.05,0.02,0.02,0.02,0.02,0.03
2022-05,73.75,12.55,2.94,2.45,1.81,1.53,1.5,0.93,0.52,0.49,0.34,0.24,0.21,0.15,0.13,0.16,0.1,0.05,0.06,0.02,0.02,0.01,0.01,0.02
2022-06,74.59,12.07,2.93,2.44,1.79,1.39,1.52,0.87,0.47,0.46,0.32,0.24,0.22,0.18,0.13,0.1,0.1,0.03,0.06,0.02,0.02,0.01,0.01,0.02
2022-07,73.58,12.26,2.86,2.36,1.85,2.02,1.49,0.94,0.5,0.76,0.31,0.23,0.22,0.18,0.13,0.07,0.09,0.03,0.04,0.03,0.02,0.01,0.01,0.02
2022-08,74.75,11.58,2.91,2.56,1.78,1.52,1.52,1.03,0.52,0.47,0.32,0.25,0.22,0.12,0.1,0.05,0.09,0.03,0.04,0.07,0.01,0.01,0.01,0.02
2022-09,75.44,11.1,2.82,2.57,1.82,1.47,1.49,0.93,0.52,0.45,0.35,0.24,0.21,0.12,0.1,0.05,0.09,0.03,0.04,0.08,0.02,0.01,0.01,0.02
2022-10,75.39,10.91,2.81,2.7,1.73,1.38,1.56,1.16,0.53,0.4,0.34,0.24,0.21,0.18,0.11,0.1,0.09,0.03,0.04,0.03,0.02,0.01,0.01,0.02
2022-11,75.93,10.81,2.83,2.52,1.68,1.39,1.52,1.01,0.5,0.32,0.34,0.21,0.19,0.29,0.13,0.09,0.08,0.03,0.04,0.01,0.02,0.01,0.01,0.02
2022-12,72.21,10.9,3.43,2.49,1.77,3.58,1.56,1.17,0.82,0.55,0.34,0.23,0.17,0.27,0.13,0.13,0.1,0.03,0.04,0.01,0.02,0.01,0.01,0.03
