"Date","Chrome","Safari","Edge","Firefox","Samsung Internet","Opera","Android","IE","Edge Legacy","Mozilla","Instabridge","UC Browser","QQ Browser","Sony PS4","Yandex Browser","Unknown","360 Safe Browser","Chromium","Other"
2022-01,51.01,34.49,5.91,3.56,2.08,0.89,0.74,0.55,0.08,0.2,0.1,0.12,0.01,0.04,0.04,0.03,0.04,0.01,0.1
2022-02,51.34,33.54,5.77,3.47,1.98,0.84,0.74,0.71,0.36,0.19,0.69,0.11,0.01,0.04,0.03,0.03,0.02,0.01,0.12
2022-03,52.09,33.32,5.91,3.56,2.02,0.83,0.74,0.46,0.28,0.19,0.25,0.1,0.01,0.04,0.03,0.03,0.02,0.01,0.12
2022-04,51.25,33.92,5.86,3.7,2.06,0.8,0.75,0.55,0.46,0.19,0.1,0.1,0.01,0.04,0.03,0.04,0.02,0.01,0.11
2022-05,51.06,33.08,5.68,3.58,1.99,0.88,0.71,1.69,0.73,0.18,0.06,0.11,0.01,0.04,0.04,0.04,0.02,0.01,0.11
2022-06,52.49,33.15,6.11,3.51,2.08,0.97,0.76,0.31,0.06,0.17,0.06,0.1,0.02,0.04,0.03,0.04,0.02,0.01,0.08
2022-07,51.77,33.57,6.11,3.4,2.43,1,0.8,0.3,0.06,0.17,0.06,0.09,0.02,0.04,0.03,0.04,0.02,0.01,0.07
2022-08,52.45,33.19,6.22,3.44,1.99,0.95,0.8,0.39,0.05,0.16,0.04,0.08,0.03,0.04,0.03,0.03,0.02,0.01,0.07
2022-09,53.2,32.28,6.15,3.5,2.07,0.95,0.79,0.42,0.06,0.16,0.04,0.09,0.05,0.03,0.04,0.02,0.02,0.01,0.11
2022-10,53.56,31.8,6.21,3.48,2.09,1,0.76,0.42,0.05,0.17,0.04,0.08,0.1,0.03,0.03,0.02,0.03,0.02,0.11
2022-11,53.19,31.84,6.73,3.53,1.77,1.1,0.73,0.37,0.05,0.17,0.05,0.07,0.14,0.03,0.04,0.02,0.03,0.01,0.12
2022-12,53.24,31.86,6.53,3.48,1.84,1.16,0.77,0.32,0.05,0.19,0.04,0.09,0.16,0.03,0.03,0.02,0.03,0.02,0.13
