"Date","Chrome","Safari","Opera","Edge","Instabridge","Samsung Internet","Firefox","Android","IE","UC Browser","Edge Legacy","Sony PS4","Puffin","Yandex Browser","Mozilla","Samsung","Other"
2022-01,80.13,6.53,3.12,2.64,1.95,2.67,2.19,0.25,0.19,0.06,0.04,0.05,0.04,0.02,0.02,0.01,0.06
2022-02,71.46,5.62,2.75,2.31,13.02,2.32,1.91,0.23,0.14,0.05,0.04,0.04,0.03,0.02,0.02,0.01,0.04
2022-03,76.73,6.01,2.56,2.53,6.78,2.43,2.22,0.26,0.17,0.06,0.06,0.04,0.05,0.02,0.03,0.01,0.05
2022-04,80.21,6.65,2.02,2.66,2.73,2.53,2.39,0.29,0.17,0.07,0.07,0.04,0.05,0.03,0.03,0.01,0.05
2022-05,81.16,6.46,2.77,2.9,1.32,2.3,2.35,0.28,0.15,0.06,0.06,0.04,0.04,0.03,0.03,0.01,0.05
2022-06,80.83,6.51,3.19,3.03,1.19,2.3,2.29,0.25,0.11,0.06,0.06,0.04,0.03,0.03,0.03,0.01,0.05
2022-07,80.83,6.69,3.22,3.09,0.96,2.34,2.2,0.26,0.1,0.07,0.07,0.05,0.03,0.03,0.02,0.01,0.05
2022-08,81.08,6.93,2.89,3.24,0.69,2.25,2.22,0.31,0.1,0.06,0.06,0.04,0.03,0.03,0.02,0.01,0.05
2022-09,80.44,7.23,3.04,3.35,0.48,2.2,2.27,0.54,0.13,0.06,0.06,0.04,0.03,0.03,0.02,0.01,0.06
2022-10,79.7,7.44,3.76,3.39,0.48,2.14,2.26,0.38,0.16,0.05,0.05,0.04,0.03,0.03,0.03,0.01,0.06
2022-11,80.32,7.54,3.31,3.2,0.39,2.35,2.21,0.24,0.12,0.05,0.05,0.04,0.03,0.03,0.03,0.02,0.06
2022-12,80.01,7.82,3.59,3.01,0.35,2.52,2.04,0.22,0.1,0.06,0.06,0.04,0.04,0.03,0.03,0.02,0.06
